"","original.order","gid","p.values","MDR.yes","MDR.no","SUSC.yes","SUSC.no","prop.mdr","prop.susc","or","orlcl","orucl","qv","sig.order"
"15",15,"aas_2",7.38153363443187e-08,30,69,4,112,0.303030303030303,0.0344827586206897,12.0467153497686,4.00008259092304,49.1126398640497,7.38153363443187e-07,1
"16",16,"aas_3",7.38153363443187e-08,30,69,4,112,0.303030303030303,0.0344827586206897,12.0467153497686,4.00008259092304,49.1126398640497,7.38153363443187e-07,2
"10",10,"AAH1",0.0189148506017077,8,91,1,115,0.0808080808080808,0.00862068965517241,10.0227836648157,1.30422965373564,451.42979347218,0.126099004011384,3
"1",1,"aacA4",0.421734405564008,2,97,0,116,0.0202020202020202,0,Inf,0.220552519035383,Inf,1,4
"2",2,"aaeA",1,99,0,116,0,1,1,0,0,Inf,1,5
"3",3,"aaeA_1",1,99,0,116,0,1,1,0,0,Inf,1,6
"4",4,"aaeB",1,99,0,116,0,1,1,0,0,Inf,1,7
"5",5,"aaeB_1",0.825683935975622,4,95,3,113,0.0404040404040404,0.0258620689655172,1.58253747424111,0.260716353641715,11.0751898962178,1,8
"6",6,"aaeB_2",1,97,2,114,2,0.97979797979798,0.982758620689655,0.851520966290888,0.0606919839308668,11.9465591492746,1,9
"7",7,"aaeR",1,99,0,116,0,1,1,0,0,Inf,1,10
"8",8,"aaeR_2",0.310355066718503,0,99,3,113,0,0.0258620689655172,0,0,2.82407956137674,1,11
"9",9,"aaeX",1,99,0,116,0,1,1,0,0,Inf,1,12
"11",11,"aam",1,0,99,1,115,0,0.00862068965517241,0,0,45.6650776564662,1,13
"12",12,"aarA",0.667670485119914,3,96,6,110,0.0303030303030303,0.0517241379310345,0.574347509597354,0.0905042516039611,2.77598564234451,1,14
"13",13,"aas",1,99,0,116,0,1,1,0,0,Inf,1,15
"14",14,"aas_1",1,9,90,10,106,0.0909090909090909,0.0862068965517241,1.05968265821586,0.363533116581671,3.04469399625937,1,16
"17",17,"aat",1,99,0,116,0,1,1,0,0,Inf,1,17
"18",18,"abgA",0.803382085014007,94,5,112,4,0.94949494949495,0.96551724137931,0.672686959300698,0.129600910570755,3.22391069604146,1,18
"19",19,"abgA_2",0.539192501859277,10,89,16,100,0.101010101010101,0.137931034482759,0.703389225327255,0.270438307131594,1.74753173613169,1,19
"20",20,"abgB",0.803382085014007,94,5,112,4,0.94949494949495,0.96551724137931,0.672686959300698,0.129600910570755,3.22391069604146,1,20
